id,sentiment
33527,0
23058,0
21058,0
31732,1
17285,1
42827,0
21696,1
28275,1
39743,0
24092,0
7314,1
9374,1
39753,0
1651,0
3890,1
33080,1
3794,0
27132,1
3412,0
44014,1
1137,0
12132,1
8704,0
17178,0
35534,0
9215,0
11200,0
18979,1
18845,1
4283,0
15591,0
22466,0
28479,1
19809,1
10867,0
9365,0
21056,1
21586,0
1673,1
27972,1
13539,1
2585,1
14597,1
19720,0
22554,1
44556,1
27872,1
49402,1
688,0
19420,1
37042,1
17137,1
41927,0
46778,0
36917,0
16205,0
35380,1
28825,0
3562,0
936,1
13277,1
1114,1
14248,0
29204,0
33141,1
25004,0
12052,1
47029,0
26618,1
18947,1
11502,1
43241,1
25825,0
15229,0
46999,0
27404,0
17937,1
37928,1
35276,1
35873,1
28741,0
19096,1
15813,1
36232,1
15569,1
9460,1
32393,1
58,1
46199,1
28957,1
48973,0
6726,1
8716,0
3160,0
7880,0
23993,1
12558,0
5713,1
38082,1
35284,0
33476,0
32215,1
5678,1
19347,0
15546,0
37595,1
35455,0
43089,0
18286,0
35283,0
35831,1
7677,0
23660,0
24924,1
30020,1
23428,1
8296,0
2271,1
20972,1
41246,0
22137,1
3583,0
6421,0
2425,1
42480,0
2404,1
22056,0
20667,0
45462,1
28584,0
28029,1
24383,1
6671,0
29507,0
36369,1
3568,0
12033,1
38071,1
33225,0
10665,1
739,1
34879,0
33061,0
32147,0
14215,1
13855,1
20966,1
39519,1
2623,1
15881,0
17548,1
18168,0
19058,1
10328,0
32087,1
9903,0
38818,1
49023,0
11981,1
15013,1
44167,1
5124,1
40127,0
27827,0
24643,0
41515,0
21320,0
882,1
41543,1
49339,1
6238,0
12028,1
26886,1
8537,0
10670,1
18225,1
12634,1
41371,1
26631,0
27360,1
12230,1
17461,1
4682,0
30829,0
32964,0
20450,0
20413,0
41487,1
47542,0
4488,0
49028,1
18819,0
35913,0
22679,0
17596,0
37375,0
20485,1
39977,0
15759,1
43411,0
14867,1
24132,1
46884,1
22753,1
28883,0
19588,1
37816,0
22715,0
29779,0
17365,0
49972,1
16658,0
43042,0
10425,0
11234,0
34471,1
4088,1
34318,0
17936,1
43866,1
12577,0
20864,0
26027,0
37795,0
17714,1
35191,0
31915,1
33017,0
9798,1
41867,0
7111,0
27141,1
11274,0
13724,0
25180,0
31529,0
41748,1
23679,1
27675,0
2565,0
11339,0
26819,0
1895,1
20474,1
8913,0
7866,0
40138,0
39934,1
25712,0
23112,1
9982,1
27034,1
